RFSS,Site Dec,Site Hex,Site NAC,Description,County Name,Lat,Lon,Range,Frequencies,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,9,409,Wahkon,Mille Lacs,46.11583,-93.55167,25,855.2125,855.9875,856.212500c,856.7375,857.087500c,859.9625,,,,,,,,,,,,,,,,,,,,,,
4,10,A,404,Holloway,Swift,45.34108,-95.91044,20,857.987500c,855.7125,856.987500c,859.9875,860.9875,,,,,,,,,,,,,,,,,,,,,,,
4,11,B,,Kimball,Stearns,45.31333,-94.31528,20,851.987500c,853.675000c,852.25,852.4875,852.9,851.725,852.35,854.7375,852.1875,,,,,,,,,,,,,,,,,,,
4,12,C,,Lincoln ,Morrison,46.19333,-94.64833,20,852.2,858.4375,857.9625,855.9625,859.437500c,858.962500c,,,,,,,,,,,,,,,,,,,,,,
4,13,D,407,Long Prairie,Todd,45.99636,-94.89828,20,851.55,853.5,854.5875,856.7375,857.737500c,858.737500c,859.7375,,,,,,,,,,,,,,,,,,,,,
4,14,E,40E,Morris,Stevens,45.59869,-95.92475,20,853.4375,852.9375,852.4375,851.9375,851.437500c,855.237500c,,,,,,,,,,,,,,,,,,,,,,
4,15,F,406,New London,Kandiyohi,45.34278,-95.00833,20,851.775,852.725,856.7625,857.762500c,858.762500c,859.7625,860.7625,,,,,,,,,,,,,,,,,,,,,
4,16,10,407,Terrace,Pope,45.50722,-95.27272,20,851.4625,851.962500c,852.4625,852.962500c,853.4625,858.2125,,,,,,,,,,,,,,,,,,,,,,
4,17,11,40B,Osakis,Todd,45.82886,-95.07778,20,854.9625,856.0375,856.2375,857.237500c,858.2375,859.237500c,,,,,,,,,,,,,,,,,,,,,,
4,18,12,40B,Wheaton,Traverse,45.86636,-96.54636,20,860.762500c,855.9625,856.7625,857.7625,858.7625,859.762500c,,,,,,,,,,,,,,,,,,,,,,
4,19,13,,Willmar,Kandiyohi,45.14972,-95.01639,20,852.275,852.875,860.962500c,859.962500c,858.9625,857.9625,856.9625,,,,,,,,,,,,,,,,,,,,,
4,20,14,,Farming,Stearns,45.50778,-94.54583,20,853.300000c,852.850000c,852.450000c,852.125,851.2,855.7125,,,,,,,,,,,,,,,,,,,,,,
4,21,15,401,Avon,Stearns,45.63444,-94.48944,20,856.2125,851.225,851.625000c,852.050000c,853.275000c,853.65,,,,,,,,,,,,,,,,,,,,,,
4,22,16,403,Grove Township,Stearns,45.59333,-94.83694,20,851.375,854.362500c,856.4875,857.487500c,858.4875,859.487500c,,,,,,,,,,,,,,,,,,,,,,
4,23,17,402,Belgrade,Stearns,45.448105,-94.998346,20,857.2125,857.712500c,858.7125,859.712500c,853.0625,854.062500c,,,,,,,,,,,,,,,,,,,,,,
4,24,18,,Fergus Falls Courthouse LE,Otter Tail,46.2830152,-96.0775581,10,854.6875,857.0125,856.062500c,857.187500c,858.0625,,,,,,,,,,,,,,,,,,,,,,,
4,25,19,40e,Nashua,Wilkin,46.08067,-96.30828,20,851.95,852.400000c,852.900000c,853.5,859.2625,,,,,,,,,,,,,,,,,,,,,,,
4,26,1A,406,Johnson,Big Stone,45.54878,-96.32414,20,854.962500c,856.737500c,857.7375,858.7375,859.7375,860.7375,,,,,,,,,,,,,,,,,,,,,,
4,27,1B,,Henning,Otter Tail,46.32019,-95.44822,20,851.775,852.225,852.725,852.925000c,853.175000c,852.275,,,,,,,,,,,,,,,,,,,,,,
4,28,1C,40F,Correll,Big Stone,45.29756,-96.17861,20,852.987500c,851.475,851.75,851.9,853.400000c,,,,,,,,,,,,,,,,,,,,,,,
4,29,1D,,St. Cloud - Prison,Sherburne,45.54194,-94.11889,10,859.4375,858.7375,857.237500c,856.237500c,,,,,,,,,,,,,,,,,,,,,,,,
4,32,20,,Swift County,Swift,44.91,-94.62,20,854.987500c,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,33,21,,Lake Lillian,Kandiyohi,45.01111,-94.89917,20,851.0375,851.287500c,852.15,853.05,853.8375,851.975000c,853.5875,,,,,,,,,,,,,,,,,,,,,
4,34,22,,Cold Spring,Stearns,45.4557973,-94.4288849,15,856.5375,857.112500c,857.6625,858.1875,859.1875,855.912500c,858.0375,,,,,,,,,,,,,,,,,,,,,
4,35,23,40c,Paynesville,Stearns,45.3805196,-94.7119483,15,854.1625,854.462500c,856.6875,857.5875,859.0375,858.062500c,,,,,,,,,,,,,,,,,,,,,,
4,36,24,40F,Sauk Centre,Stearns,45.737465,-94.9525216,15,854.312500c,854.512500c,854.7125,857.6875,858.5875,858.0875,,,,,,,,,,,,,,,,,,,,,,
4,40,28,40F,Sherburne - Wright Co. Simulcast,Wright,45.344444,-93.752778,30,851.275,851.475000c,851.575,851.850000c,852.325,852.775,852.9,853.175,853.575,851.175,851.575,858.3625,,,,,,,,,,,,,,,,
4,41,29,405,St. Cloud Region Simulcast,Stearns,45.58,-94.21,30,851.95,852.3,852.925,853.9,854.9875,855.4625,856.1375,856.4375,856.987500c,857.437500c,857.987500c,858.6625,859.4625,859.087500c,,,,,,,,,,,,,,
4,42,2A,,Morrison Co. Simulcast,Morrison,46.05,-94.24,30,851.25,852.1,852.475000c,853.100000c,853.4,855.2375,856.9375,857.9375,858.9375,859.9375,,,,,,,,,,,,,,,,,,
4,43,2B,,Meeker Co. Simulcast,Meeker,45.1,-94.5,30,852.225000c,852.625,853.875000c,857.4625,858.4625,851.1,853.325,856.4625,854.5375,856.0625,,,,,,,,,,,,,,,,,,
4,49,31,400,Gilman - Simulcast,Benton,45.68,-93.75,30,851.9,852.400000c,851.425,851.8,852.875,853.525,852.725000c,853.475,852.275,853.825,,,,,,,,,,,,,,,,,,
4,77,4D,40F,Kent - Foxhome,Wilkin,46.36839,-96.44383,20,851.4125,851.912500c,853.412500c,855.7375,857.4375,,,,,,,,,,,,,,,,,,,,,,,
4,78,4E,403,Dumont,Traverse,45.71297,-96.52186,20,851.450000c,851.875000c,853.45,858.9625,859.9625,,,,,,,,,,,,,,,,,,,,,,,
4,79,4F,401,Holdingford,Stearns,45.71986,-94.38431,20,854.687500c,856.887500c,857.8875,858.8875,859.5875,856.0875,,,,,,,,,,,,,,,,,,,,,,
4,81,51,40A,Onamia,Mille Lacs,46.02697,-93.77439,20,856.962500c,856.4625,857.462500c,858.4625,858.7625,857.7625,,,,,,,,,,,,,,,,,,,,,,
4,82,52,,Starbuck,Pope,45.57025,-95.56272,20,851.387500c,851.8,852.1,853.125,855.737500c,,,,,,,,,,,,,,,,,,,,,,,
4,83,53,407,Ashby,Grant,46.01075,-95.84261,20,851.487500c,851.725000c,852.975,853.3875,856.7125,853.7625,,,,,,,,,,,,,,,,,,,,,,
4,86,56,405,Ortonville,Big Stone,45.37008,-96.43003,20,858.487500c,856.4875,857.4875,859.487500c,860.4875,,,,,,,,,,,,,,,,,,,,,,,
4,87,57,402,Garfield,Douglas,45.92586,-95.47372,18,851.9875,852.350000c,853.475000c,853.8875,855.2125,851.3125,,,,,,,,,,,,,,,,,,,,,,
4,88,58,400,Comstock,Wilkin,46.62989,-96.73969,20,851.9875,852.15,852.487500c,855.987500c,857.9375,,,,,,,,,,,,,,,,,,,,,,,
4,89,59,401,Barnsville,Clay,46.61592,-96.35869,20,852.437500c,852.9375,853.4375,856.2375,857.237500c,854.1625,,,,,,,,,,,,,,,,,,,,,,
